pickup_location,drop_location,trips,revenue
"DLF Mall of India","Kashmere Gate",3,1079.6
Shahdara,"Noida Sector 76",3,1456.75
Saket,"Red Fort",3,1811.95
"Lajpat Nagar","Alpha 1",3,1528
"IFFCO Chowk","Alpha 1",3,1251
"Noida Sector 78","Sector 56 Gurugram",3,1012.75
Indirapuram,"Lajpat Nagar",3,1398.4
"Pragati Maidan",Shahdara,3,1044
"Noida Sector 78","Cyber City",3,1650.5
"Alpha 1","Noida Sector 62",3,1232.25
"Cyber City","Old Delhi Railway Station",3,1819.5
"Sector 45 Gurugram","Laxmi Nagar",3,875.25
"Noida Sector 18",Loni,3,1399.5
"Preet Vihar","Gamma 1",3,1033.35
"Noida Sector 18",Aerocity,3,950.25
"Yamuna Bank","Sarojini Nagar",3,1433.5
Mahipalpur,Janakpuri,3,2580
"Noida Sector 18","Old Delhi Railway Station",3,4686.8
"MG Road","Logix Mall",3,1519.5
"Noida Sector 76",INA,3,1561.5
Akshardham,"Noida Sector 37",3,1707.5
"Noida Sector 63","Green Park",3,1269.9
"Old Delhi Railway Station","Laxmi Nagar",3,1145
"Noida Sector 78","DLF Phase 1",3,754.3
"Anand Vihar ISBT","Mandi House",3,1814.5
"Logix Mall",Manesar,3,1477.05
"DLF Phase 3","Botanical Garden",3,1234.1
"DLF Phase 1","Civil Lines",3,1219
"Knowledge Park","DLF Mall of India",3,1342.4
"DLF Phase 3",Rohini,3,1317.75
"Vasant Kunj","Sector 45 Gurugram",3,1886.5
"Noida Sector 37","Civil Lines",3,1250.25
"Udyog Vihar","Mandi House",3,1742
"Greater Noida West","MG Road",3,1002.5
"Karol Bagh",INA,3,1427.5
"Delta 1","Raj Nagar Extension",3,1223.5
Janakpuri,"Greater Kailash",3,1535.25
Kaushambi,ITO,3,207.75
"DLF Phase 1","Yamuna Bank",3,2099.5
"Crossings Republik",Loni,3,1769.5
"Beta 1","Vasant Kunj",3,1302.5
"Logix Mall",Surajpur,3,1562.1
"Crossings Republik","Noida Sector 63",3,1084.5
"DLF Phase 3","Noida Sector 18",3,1547.25
"Anand Vihar ISBT","Civil Lines",3,1340
AIIMS,"Nehru Place",3,2076.75
"Sarojini Nagar","Preet Vihar",3,1805
"Greater Noida West","Anand Vihar Railway Station",3,2212.4
"DLF Phase 2","Nehru Place",3,1221.5
"Sohna Road","Ambience Mall",3,1087
Mahipalpur,"Wave City Center",3,2175.5
"Anand Vihar Railway Station","Connaught Place",3,1069
"Greater Noida West",Mahipalpur,3,1526.25
Sahibabad,"Anand Vihar ISBT",3,3247
"Civil Lines","Cyber City",3,1797.25
"DLF Phase 3","Civil Lines",3,755.5
"Dilshad Garden","Wave City Center",3,946.5
Loni,"Gamma 1",3,1967.25
"Noida Sector 78","Botanical Garden",3,1091.5
"Jama Masjid",AIIMS,3,1104.25
"Noida Sector 18","South Extension",3,1110
"Chandni Chowk","Sector 14 Gurugram",3,2120.7
"Cyber Hub","Mohan Nagar",3,2096.75
"Noida Sector 62","Chandni Chowk",3,2449.25
"Huda City Centre","Mayur Vihar",3,2133.3
"Hauz Khas","Airport T3",3,1921.4
Rohini,"Mandi House",3,1451.55
"Noida Sector 76","Greater Noida West",3,1968
"Noida Sector 62","Gamma 1",3,1384.7999999999997
"Alpha 1","IGI Airport T1",3,698.8
ITO,"Gamma 1",3,1688.25
"Yamuna Bank","Wave City Center",3,960.2
"Wave City Center","DLF Phase 4",3,1574.5
Seelampur,"Golf Course Road",3,1668.85
"Mandi House","Karol Bagh",3,1963.5
"Noida Sector 76",Manesar,3,1223.8
"Anand Vihar Railway Station","Mandi House",3,599
Kalkaji,Seelampur,3,1502.5
Daryaganj,"Udyog Vihar",3,2253.75
Manesar,"IGI Airport T1",3,1363
"Mayur Vihar",Pitampura,3,1978.25
Indirapuram,"Mayur Vihar",3,1091
"Connaught Place","Cyber Hub",3,1333
Dwarka,"Ambience Mall",3,1558
"Mayur Vihar","Sector 14 Gurugram",3,1317.9
Sahibabad,"DLF Mall of India",3,2069.5
"DLF Phase 4","Pragati Maidan",3,1347
Bisrakh,"RK Puram",3,1770.75
"Noida Sector 16","Pari Chowk",3,1437
"DLF Phase 4","Crossings Republik",3,1994.5
Daryaganj,Janakpuri,3,829.75
"Sohna Road",Daryaganj,3,977
Daryaganj,Aerocity,3,1182.75
"Crossings Republik","Old Delhi Railway Station",3,1409.7
Janakpuri,Vasundhara,3,1345.3
"Noida City Centre",Saket,3,1668.5
"Mohan Nagar","Gamma 1",3,1554.75
Aerocity,"Connaught Place",3,1460
"Kashmere Gate","Ambience Mall",3,1308.4
Rohini,"MG Road",3,2024.5
Surajpur,"DLF Phase 1",3,2790.5
"Nehru Place","Mandi House",3,856
"Vasant Kunj","Wave City Center",3,1487.5
"IGI Airport T1","Civil Lines",3,2234.25
"Kashmere Gate","Noida Sector 62",3,891
"Airport T3","Udyog Vihar",3,2108
"Ambience Mall","Malviya Nagar",3,1791.0000000000002
Kaushambi,"Ambience Mall",3,1993.2
"Sector 14 Gurugram",Shahdara,3,1366.5
"Sector 45 Gurugram",Seelampur,3,4576.25
"Hauz Khas","Noida Sector 63",3,1518.8
Kalkaji,"Lajpat Nagar",3,1548.2
"Mohan Nagar",Pitampura,3,2401.5
"Laxmi Nagar","Sarojini Nagar",3,2611.8
"DLF Phase 3","South Extension",3,1161
"Golf Course Road","Huda City Centre",3,1470.5
"Laxmi Nagar","Logix Mall",3,1537.8
"Cyber Hub",Janakpuri,3,2200.25
"Anand Vihar Railway Station","Malviya Nagar",3,1582
"Yamuna Bank","Sector 45 Gurugram",3,1254
Pitampura,"Udyog Vihar",3,1236.6
Vasundhara,Dwarka,3,1527
"Pari Chowk","Ambience Mall",3,1785.3
"Sector 56 Gurugram",ITO,3,2592.7
"Huda City Centre","Nehru Place",3,1286
"Raj Nagar Extension","Greater Noida West",3,1136
Manesar,Mahipalpur,3,850.8
"Preet Vihar","Sector 45 Gurugram",3,1318.75
"Sarojini Nagar","Delta 1",3,2517.1
"Connaught Place",Manesar,3,975.6
"Noida Sector 15",Seelampur,3,640.2
Kaushambi,"Connaught Place",3,1523
"Nehru Place","DLF Phase 3",3,879.5
"Greater Kailash",Loni,3,1305.5
"Raj Nagar Extension","Nehru Place",3,1134.1
"DLF Phase 1","Logix Mall",3,1231
"Preet Vihar","Noida Sector 18",3,767.65
"Hauz Khas","Huda City Centre",3,1324.75
"Vasant Kunj","Jama Masjid",3,1695.6
Ecotech,"Connaught Place",3,1665.5
"Pragati Maidan","Sector 56 Gurugram",3,1815.2
"Knowledge Park","Rajouri Garden",3,1553.5
"DLF Phase 1",Indirapuram,3,1222.3
"IFFCO Chowk","DLF Phase 2",3,1645
"Model Town","Noida Sector 16",3,1027.6
"Sarojini Nagar","Raj Nagar Extension",3,1663
Pitampura,"Airport T3",3,1287
"Golf Course Road","Mohan Nagar",3,2002.5
"Civil Lines","Alpha 1",3,1507
"Preet Vihar",ITO,3,860.5
Aerocity,Vaishali,3,1598
"Yamuna Bank","Noida Sector 137",3,1111
"Noida Sector 62","Kashmere Gate",3,1856.75
"Noida Sector 15",Dwarka,3,1042
Aerocity,"Red Fort",3,1849.25
Akshardham,"Noida Sector 16",3,1161.5
"Cyber City","Lajpat Nagar",3,1113.75
"Chandni Chowk","Sarojini Nagar",3,752.5
Sahibabad,"Noida Sector 137",3,1325
"Pari Chowk",Akshardham,3,1062.8
"Raj Nagar Extension","Malviya Nagar",3,1356.5
"Greater Kailash","IFFCO Chowk",3,1369
"RK Puram","Defence Colony",3,2944.2
Dwarka,"Connaught Place",3,1122.1
"New Delhi Railway Station",Surajpur,3,2722.5
"Malviya Nagar",Manesar,3,1393.5
"Jama Masjid","Nehru Place",3,1245.75
Akshardham,"Defence Colony",3,1288.6
"Connaught Place","Noida Sector 37",3,1369.8000000000002
"Noida Sector 63","Cyber City",3,1023.8
"Delta 1","Hauz Khas",3,1200.5
"Karol Bagh","Sector 45 Gurugram",3,1413.6
Aerocity,"Karol Bagh",3,1664
"Film City Noida","Noida Sector 63",3,772.7
"Beta 1",Manesar,3,1602.25
"RK Puram","Yamuna Bank",3,1288.25
"New Delhi Railway Station",Ecotech,3,643.25
"Ambience Mall","Sector 56 Gurugram",3,862.05
"IGI Airport T1","RK Puram",3,1884.25
"New Delhi Railway Station",Loni,3,1393.5
Saket,"Green Park",3,2543
"Raj Nagar Extension","Botanical Garden",3,2199.5
"DLF Mall of India","Botanical Garden",3,1317.75
"Noida Sector 63","Rajouri Garden",3,1506.6
AIIMS,"Greater Noida West",3,1321.6
"Ambience Mall","Chandni Chowk",3,929.5
"New Delhi Railway Station",Sahibabad,3,1114.5
"Udyog Vihar",Manesar,3,1330
"Sohna Road","Civil Lines",3,1497.5
"Lajpat Nagar",Daryaganj,3,1327
"Golf Course Road",Dwarka,3,1511
"Sector 29 Gurugram","Noida Sector 16",3,1399
Surajpur,"Green Park",3,1427.7
"Sarojini Nagar","Vasant Kunj",3,1563
"Pari Chowk","Yamuna Bank",3,1335
"Airport T3","New Delhi Railway Station",3,1404.2
Shahdara,"Noida Sector 18",3,908.5
"Sohna Road","Huda City Centre",3,1637.5
"IFFCO Chowk","Preet Vihar",3,1139.15
Vasundhara,"Golf Course Road",3,1144.5
INA,"Rajouri Garden",3,1158.75
Daryaganj,"Preet Vihar",3,2822.5
Seelampur,"Yamuna Bank",3,593
"Noida Sector 18","Botanical Garden",3,1187.5
"Golf Course Road","Nehru Place",3,2109.75
Aerocity,"Sector 45 Gurugram",3,1010.1
"Mohan Nagar",Sahibabad,3,829.5
"Sector 29 Gurugram","Sohna Road",3,860
"Preet Vihar",Vaishali,3,2451.5
"Dilshad Garden","Cyber Hub",3,2010
"Rajouri Garden","Noida Sector 15",3,2800.5
"Alpha 1","Karol Bagh",3,1718.5
Akshardham,Surajpur,3,2287.4
"Ambience Mall","Noida Sector 62",3,2103
"Sohna Road","Crossings Republik",3,1606.2
"DLF Phase 1","Chandni Chowk",3,1529.4
"IGI Airport T1",Sahibabad,3,1404.8
"Defence Colony","Noida Sector 78",3,1182.3
"Airport T3","Sector 29 Gurugram",3,2724.5
"Udyog Vihar","Ghaziabad Railway Station",3,2155
Ecotech,"Pari Chowk",3,2120.15
Vaishali,"Hauz Khas",3,1269
"Defence Colony",Pitampura,3,564.5
"Sohna Road","Noida Sector 37",3,1681.35
"Beta 1",Janakpuri,3,1573.25
"Green Park","Noida Sector 18",3,1663
Pitampura,Janakpuri,3,1228.3
Mahipalpur,"Noida Sector 37",3,1384.2
"IFFCO Chowk","Sector 45 Gurugram",3,1852.5
"Preet Vihar","Wave City Center",3,702.45
"Noida Sector 63",Indirapuram,3,2117.85
"IGI Airport T1","Udyog Vihar",3,1668.1
"Lajpat Nagar","Laxmi Nagar",3,1941
"Noida Sector 18","Huda City Centre",3,1493.5
"DLF Phase 4","Jama Masjid",3,1564
Rohini,"Anand Vihar ISBT",3,161
"Greater Kailash","Noida Sector 16",3,862.25
Pitampura,"Noida Sector 62",3,2024.6
"DLF Phase 3","IFFCO Chowk",3,1427.8
"Cyber City","DLF Mall of India",3,1737
Aerocity,"DLF Phase 2",3,2857.5
"DLF Phase 4","Sector 14 Gurugram",3,1269.5
"Raj Nagar Extension","Hauz Khas",3,1157.9
"Preet Vihar","Knowledge Park",3,1665.75
"Mohan Nagar",Loni,3,857
Vasundhara,"Cyber Hub",3,1217.9
"DLF Phase 2","Crossings Republik",3,953
"Wave City Center",Manesar,3,2790
"Hauz Khas","Green Park",3,1544.5
"IFFCO Chowk",Sahibabad,3,871.5
"Noida Sector 16","Botanical Garden",3,976
Indirapuram,"Dilshad Garden",3,1298
"Chandni Chowk","DLF Mall of India",3,2488.75
"DLF Mall of India",Pitampura,3,2490.85
"Crossings Republik","DLF Phase 1",3,1340.75
"Greater Kailash",ITO,3,3909.3
"Vasant Kunj","Civil Lines",3,446
"DLF Phase 4","Udyog Vihar",3,2471.5
"Film City Noida","Yamuna Bank",3,704.5
"MG Road",Mahipalpur,3,897.6
Dwarka,"Sector 29 Gurugram",3,1685.9
Surajpur,INA,3,3289.25
"DLF Mall of India",Seelampur,3,1865
"DLF Phase 2",Sahibabad,3,2067.55
Kaushambi,"Sector 45 Gurugram",3,1702.75
"Mayur Vihar",ITO,3,1450.9
"Defence Colony","Greater Kailash",3,1594.5
Kaushambi,"Lajpat Nagar",3,1175.5
Sahibabad,"Knowledge Park",3,2135.15
"Greater Kailash",Pitampura,3,1743.1
"Golf Course Road","Wave City Center",3,2094
"Udyog Vihar",INA,3,2039.7
"Hauz Khas","Anand Vihar Railway Station",3,1391
"Wave City Center","Cyber Hub",3,1759.25
"Karol Bagh",Mahipalpur,3,1998.9
"Lajpat Nagar",Sahibabad,3,1156.65
Vasundhara,"Alpha 1",3,761.5
"Sector 29 Gurugram",Saket,3,1736
Kalkaji,"Sector 29 Gurugram",3,1957.5
"Noida Sector 16","Rajouri Garden",3,2026.5
"Lajpat Nagar","Mandi House",3,863.8
Saket,Surajpur,3,1437
"RK Puram",Pitampura,3,1062.8
"Pari Chowk","Vasant Kunj",3,1147.25
"Sector 29 Gurugram",ITO,3,1362.5
"Civil Lines","Raj Nagar Extension",3,1658.8
"Huda City Centre","DLF Phase 1",3,2071.95
"Malviya Nagar","Noida Sector 63",3,1583.9
Surajpur,"Udyog Vihar",3,1912
Shahdara,Surajpur,3,840.75
"Noida Sector 62","Huda City Centre",3,941.2
AIIMS,"Rajouri Garden",3,1185.1999999999998
"Sohna Road",Seelampur,3,952
"South Extension",Pitampura,3,1323.5
ITO,Janakpuri,3,1493
Ecotech,"Wave City Center",3,1324.65
"Model Town","Noida City Centre",3,1088.35
"Hauz Khas",Shahdara,3,1311.5
"Wave City Center","Noida Sector 137",3,1006.5
"Sector 45 Gurugram","Dilshad Garden",3,1747.1
"Gamma 1","Sohna Road",3,1114
"Kashmere Gate","DLF Phase 1",3,1384.2
"Botanical Garden",Shahdara,3,1481.1
"Noida Sector 37",Janakpuri,3,2243.5
"DLF Phase 2",Rohini,3,1585.5
INA,"DLF Phase 1",3,1364.5
"Lajpat Nagar","Cyber City",3,2161.8
"Vasant Kunj",INA,3,1558.7
AIIMS,"Greater Kailash",3,2512.5
"Mohan Nagar","Raj Nagar Extension",3,1267.75
Daryaganj,"Pragati Maidan",3,1859.5
"DLF Phase 2","Karol Bagh",3,1413
ITO,Seelampur,3,1446.1
"Mohan Nagar",Shahdara,3,1099.8
Aerocity,Saket,3,2336.9
"Mohan Nagar","Wave City Center",3,1213.75
Kaushambi,"Chandni Chowk",3,1372.5
"RK Puram","Anand Vihar ISBT",3,3957
Kaushambi,"Noida Sector 18",3,1647.75
Vaishali,"Rajouri Garden",3,1579.5
"Connaught Place",Daryaganj,3,1069
"Cyber Hub","DLF Mall of India",3,2224.35
AIIMS,"DLF Phase 1",3,1388
"Chandni Chowk","Alpha 1",3,2021.1
Surajpur,"Jama Masjid",3,1141.6
"Noida Sector 76","DLF Mall of India",3,1289.5
"Jama Masjid","Noida Sector 37",3,2611
Janakpuri,"Alpha 1",3,1982
"New Delhi Railway Station","Mayur Vihar",3,1376.4
"Jama Masjid",Manesar,3,1216.25
"Botanical Garden","Dilshad Garden",3,1728.7
INA,Rohini,3,1600.6
"Sector 14 Gurugram","Noida Sector 15",3,1766
Akshardham,"Noida Sector 62",3,1203.5
"Hauz Khas",Surajpur,3,921
"Golf Course Road","Vasant Kunj",3,1013
"Ghaziabad Railway Station","Huda City Centre",3,927.5
"DLF Phase 3","Mayur Vihar",3,1801.25
Manesar,"Noida Sector 62",3,866.75
"Sector 29 Gurugram",Vaishali,3,1155
"Botanical Garden","Airport T3",3,2181
"Sohna Road","Botanical Garden",3,2302.35
"Lajpat Nagar",INA,3,1291.5
"Noida City Centre","Botanical Garden",3,758.75
"Karol Bagh",ITO,3,2212
"Sector 56 Gurugram","Delta 1",3,901
Daryaganj,"Noida Sector 37",3,1410.5
INA,"Alpha 1",3,1203.6
"Lajpat Nagar","Sector 45 Gurugram",3,1714.25
"Lajpat Nagar",ITO,3,886
Indirapuram,"Mandi House",3,2116.5
Dwarka,"Mandi House",3,2407
Mahipalpur,"Udyog Vihar",3,1211.5
Bisrakh,"Sarojini Nagar",3,1196.6
Mahipalpur,INA,3,1501.5
"Pari Chowk","Greater Noida West",3,942.6
"Golf Course Road","Rajouri Garden",3,1346.2
"Rajouri Garden","Gamma 1",3,1775
"Lajpat Nagar","Airport T3",3,1072.35
"Dilshad Garden","Defence Colony",3,2010.75
"Noida Sector 78","Preet Vihar",3,1051.75
"Vasant Kunj","New Delhi Railway Station",3,2216.5
"Nehru Place","Pari Chowk",3,898.5
"IGI Airport T1","South Extension",3,1030
"Green Park","Jama Masjid",3,715.7
"Pari Chowk","Anand Vihar Railway Station",3,1111.2
Kaushambi,"Karol Bagh",3,3131
"Yamuna Bank","Sector 29 Gurugram",3,2060.2
"Pragati Maidan","Gamma 1",3,3394.1
"Raj Nagar Extension",Pitampura,3,1344
"Noida City Centre",Kalkaji,3,1585.6
Saket,Vaishali,3,1774.6
"Ghaziabad Railway Station",Loni,3,2554
"Crossings Republik","Noida Sector 78",3,2160
"Cyber Hub",Dwarka,3,1209.3
"Botanical Garden","Kashmere Gate",3,1963.2
Indirapuram,Shahdara,3,1193.5
"Cyber City","MG Road",3,1337.9
"RK Puram","Mayur Vihar",3,1691
"Noida Sector 15","Udyog Vihar",3,1735
Dwarka,"Jama Masjid",3,1063.5
"DLF Phase 1",Surajpur,3,1798.9
Ecotech,"Noida Sector 62",3,591.3
"Rajouri Garden","Delta 1",3,1223
Sahibabad,"South Extension",3,1763
"IGI Airport T1","Chandni Chowk",3,1461.5
"South Extension","Noida Sector 78",3,1628.7
Pitampura,Sahibabad,3,1455.2
Indirapuram,Janakpuri,3,1411.5
"Sector 45 Gurugram",Vasundhara,3,1412.5
"Old Delhi Railway Station",INA,3,602.4
Kalkaji,"Ghaziabad Railway Station",3,1184.25
"Cyber City","Pragati Maidan",3,1482.75
Indirapuram,"RK Puram",3,2106.8
"Vasant Kunj",AIIMS,3,905
"Laxmi Nagar",INA,3,1748.4
"Anand Vihar ISBT","Noida Sector 16",3,1697.25
"RK Puram","Pari Chowk",3,1250.5
"Noida Sector 62",Kalkaji,3,1046
"Rajouri Garden","Chandni Chowk",3,1501.7
"DLF Phase 3","Logix Mall",3,1716
"Udyog Vihar","Hauz Khas",3,2606
Kaushambi,"Preet Vihar",3,1376.1
"Logix Mall","Noida Sector 37",3,1421.5
"DLF Phase 3",Akshardham,3,2237.4
"Alpha 1","DLF Phase 1",3,981.5
Akshardham,"Rajouri Garden",3,1422.5
"Crossings Republik","Pari Chowk",3,1023.4
"Nehru Place","Knowledge Park",3,615.75
"Nehru Place",Indirapuram,3,2080
"Civil Lines","Gamma 1",3,1328.25
"Anand Vihar Railway Station","Mayur Vihar",3,1599.8
"Greater Noida West",Daryaganj,3,1360.9
Pitampura,"Knowledge Park",3,843.8
"Knowledge Park",Janakpuri,3,1710
"IGI Airport T1","Noida Sector 18",3,1263
Aerocity,Akshardham,3,2195
"Hauz Khas","Sarojini Nagar",3,646.5
"Alpha 1","New Delhi Railway Station",3,1787
"Preet Vihar","Noida City Centre",3,2608.4
"Botanical Garden",Rohini,3,1660.4
"Sohna Road","Greater Kailash",3,823.3
"Mandi House",Saket,3,1818.8
"Ambience Mall","Crossings Republik",3,1512.5
Vaishali,Kaushambi,3,1061.25
"Mohan Nagar","Anand Vihar ISBT",3,1111.8
"Noida Sector 62","Ghaziabad Railway Station",3,976.5
"Mandi House","Red Fort",3,1544
"Logix Mall","Sector 14 Gurugram",3,947.5
"Airport T3","Nehru Place",3,781
Aerocity,"Noida City Centre",3,670
"Noida Sector 16","Ambience Mall",3,1230.5
"Noida Sector 16","New Delhi Railway Station",3,1431.5
"Anand Vihar ISBT","Mayur Vihar",3,1354
"Noida Sector 76","IFFCO Chowk",3,-967.25
"Film City Noida","Anand Vihar Railway Station",3,433
Rohini,"Golf Course Road",3,1797.75
"Golf Course Road","Hauz Khas",3,1601
"Model Town","Golf Course Road",3,1576.5
Loni,"DLF Phase 2",3,2127.55
Loni,"Pragati Maidan",3,1450
Daryaganj,"Hauz Khas",3,1184
"Sarojini Nagar","Knowledge Park",3,1566.6
"DLF Phase 3","Rajouri Garden",3,1518.5
Aerocity,"Noida Sector 15",3,844
"Sector 29 Gurugram","Noida Sector 78",3,958.5
"Chandni Chowk","Noida Sector 18",3,1282.5
Pitampura,Vasundhara,3,1527.9
"Pragati Maidan",Sahibabad,3,950.25
"Mandi House","Ghaziabad Railway Station",3,2005.5
ITO,"New Delhi Railway Station",3,2142.6
"Civil Lines",Pitampura,3,747
Daryaganj,"Karol Bagh",3,1357.7
Seelampur,"Noida Sector 137",3,949.5
"IFFCO Chowk",Vaishali,3,1189.25
"Noida Sector 18","Civil Lines",3,1396
Janakpuri,Seelampur,3,804.5
"Noida Sector 62","Mayur Vihar",3,1691.5
"Rajouri Garden","Wave City Center",3,875
"MG Road","Laxmi Nagar",3,1128
"Logix Mall","Ghaziabad Railway Station",3,1551.5
"Noida Sector 137","Botanical Garden",3,2127.75
"Hauz Khas","Ambience Mall",3,2101.9
"Sector 56 Gurugram","Botanical Garden",3,302
"Lajpat Nagar",Aerocity,3,2386.05
Saket,"Yamuna Bank",3,760.9
"RK Puram","DLF Mall of India",3,1534.75
"Gamma 1","Nehru Place",3,1238.4
Daryaganj,"South Extension",3,1400.25
"Wave City Center",Shahdara,3,1922.1
"Greater Kailash",Manesar,3,1107
Loni,"Golf Course Road",3,1203.5
"Kashmere Gate","Udyog Vihar",3,2012.75
Manesar,"Model Town",3,1282.5
"Nehru Place",INA,3,1962.5
"Sarojini Nagar","Golf Course Road",3,1343
"DLF Phase 1","Pragati Maidan",3,1047.5
"Pari Chowk","Botanical Garden",3,1742.8
"Sohna Road","Noida Sector 15",3,1513.5
"Sector 14 Gurugram","Civil Lines",3,1345
"Preet Vihar","DLF Mall of India",3,802.25
"Sector 14 Gurugram","Greater Kailash",3,1555.6
"Pragati Maidan","Noida Sector 15",3,1547
"RK Puram","Cyber Hub",3,726
"Model Town","Cyber Hub",3,1809.75
"IGI Airport T1","Preet Vihar",3,1421.5500000000002
Aerocity,"Crossings Republik",3,1239.5
"Dilshad Garden","Laxmi Nagar",3,1538.5
"Udyog Vihar","DLF Phase 2",3,1258.3
Pitampura,"Chandni Chowk",3,1028.5
"Pari Chowk","IFFCO Chowk",3,978.5
Pitampura,Loni,3,467.7
"Laxmi Nagar",Mahipalpur,3,1118
"Udyog Vihar",Rohini,3,4613.4
"Raj Nagar Extension",Kalkaji,3,1217
Seelampur,Mahipalpur,3,1332.2
"Mandi House","Greater Kailash",3,1917.3999999999999
"Delta 1","Yamuna Bank",3,2222.5
"DLF Phase 4","Beta 1",3,1037.5
Mahipalpur,"New Delhi Railway Station",3,1952.6
"Logix Mall","Mandi House",3,2189.4
Daryaganj,ITO,3,1588.5
Kalkaji,"Noida City Centre",3,637
"DLF Phase 4",Daryaganj,3,1287
"Cyber City","Model Town",3,1251
"Greater Noida West","Dilshad Garden",3,1426.5
ITO,"Dilshad Garden",3,1122.2
"Sector 29 Gurugram","Hauz Khas",3,1343
"Ghaziabad Railway Station","Jama Masjid",3,823.25
"Model Town","DLF Phase 1",3,2106.25
Kaushambi,Dwarka,3,1552.5
"Civil Lines","Sector 14 Gurugram",3,1962.5
"Film City Noida","Pari Chowk",3,2010.5
"DLF Phase 3","Sohna Road",3,1955.5
"Noida Sector 62","Sector 14 Gurugram",3,1199.1
"Huda City Centre","RK Puram",3,678
Kalkaji,Ecotech,3,1172.8
"Cyber Hub","DLF Phase 3",3,2652.8
"Civil Lines",Manesar,3,910.45
"Logix Mall","Sector 56 Gurugram",3,1788
"Golf Course Road","Karol Bagh",3,1263.7
"Ambience Mall",Ecotech,3,1055.1
"Sector 56 Gurugram","DLF Phase 2",3,2233
Pitampura,Aerocity,3,3372
"Rajouri Garden",Aerocity,3,656.9
"Yamuna Bank","Hauz Khas",3,2437.9
"Laxmi Nagar","DLF Mall of India",3,1133.7
"DLF Phase 2","Sector 56 Gurugram",3,2417
"Noida Sector 16","Mohan Nagar",3,587
"DLF Mall of India","Noida Sector 63",3,1140
"Logix Mall","Model Town",3,1850.5
"Beta 1","Cyber Hub",3,1145.5
"Nehru Place","Greater Kailash",3,2237.15
"Mayur Vihar",Mahipalpur,3,2123.25
"Sector 14 Gurugram",Dwarka,3,1663.5
Surajpur,"Sector 45 Gurugram",3,2193.75
Dwarka,"Model Town",3,5087.5
"Ambience Mall","Greater Kailash",3,1849
"Noida Sector 63",AIIMS,3,805.5
"MG Road","Raj Nagar Extension",3,1009
"Mohan Nagar",Indirapuram,3,2059.05
Loni,"Noida Sector 63",3,2692
"DLF Phase 3","Anand Vihar ISBT",3,433.5
"Greater Noida West","Connaught Place",3,1858.1
"IGI Airport T1","Delta 1",3,1992
Akshardham,Kaushambi,3,1472
"Pari Chowk","Sector 29 Gurugram",3,1320.5
"Mayur Vihar","Udyog Vihar",3,1831.05
"DLF Mall of India","Anand Vihar Railway Station",3,1373
Seelampur,Kalkaji,3,-395.8
"Airport T3","Ghaziabad Railway Station",3,2248.2
"Cyber City","Anand Vihar Railway Station",3,1432.95
"RK Puram",Daryaganj,3,530.25
Aerocity,"Noida Sector 37",3,825.3
"Crossings Republik","Greater Noida West",3,1939.25
"Vasant Kunj","Raj Nagar Extension",3,1559.3
"Huda City Centre","Delta 1",3,1684
Akshardham,"Noida Sector 15",3,1496.3
"Preet Vihar","Greater Kailash",3,1356.5
Vaishali,Aerocity,3,1266.5
"Knowledge Park","RK Puram",3,2137.75
"Greater Noida West",Pitampura,3,1776
"Old Delhi Railway Station",Surajpur,3,1782.6
"Civil Lines",Sahibabad,3,749.75
"Noida Sector 78","Airport T3",3,1821
"Alpha 1","South Extension",3,1014
"Chandni Chowk","Sector 29 Gurugram",3,2403.2
"Raj Nagar Extension","Noida Sector 137",3,1274
"Hauz Khas",Seelampur,3,1055.5
Daryaganj,Sahibabad,3,1261.2
"Wave City Center","Vasant Kunj",3,1908.6
"Lajpat Nagar",Vaishali,3,1876.75
"Sector 29 Gurugram","Film City Noida",3,2588.7
"Beta 1","DLF Mall of India",3,5078
"Connaught Place",Aerocity,3,1305.7
"Film City Noida","DLF Phase 3",3,1466.2
Aerocity,"Mayur Vihar",3,-26
"Dilshad Garden","DLF Phase 1",3,859.5
"Nehru Place","Noida Sector 37",3,2767.75
Sahibabad,"DLF Phase 1",3,1481
Sahibabad,"Noida Sector 63",3,1101.5
"Civil Lines","Ambience Mall",3,2341
"Noida Sector 63","New Delhi Railway Station",3,1559.5
"Sector 14 Gurugram",Bisrakh,3,1928.5
"Hauz Khas",Ecotech,3,1166.75
"Noida Sector 76","Noida Sector 37",3,1993.2
"Gamma 1","Noida Sector 63",3,1068.5
Akshardham,"Huda City Centre",3,1292
"Airport T3",Akshardham,3,1810.5
"Golf Course Road","DLF Phase 1",3,1146.5
"Noida City Centre","Sector 45 Gurugram",3,1107.6
"Beta 1","Model Town",3,906.9
"IGI Airport T1",AIIMS,3,1152.65
"Jama Masjid","Noida City Centre",3,1095.8
"Gamma 1",Kaushambi,3,1899
Vaishali,Indirapuram,3,1024.75
"Mandi House","Defence Colony",3,1681
"Knowledge Park","Udyog Vihar",3,1623.2
"Noida Sector 78","Pragati Maidan",3,1305
"Logix Mall",Janakpuri,3,2439
"DLF Mall of India","Connaught Place",3,2278.75
Kaushambi,"Nehru Place",3,953.5
"Sohna Road","Jama Masjid",3,1555.25
Shahdara,"Jama Masjid",3,1174.5
"Noida Sector 18","Vasant Kunj",3,1165.25
Rohini,Kalkaji,3,2422.5
"Noida Sector 15","Noida Sector 78",3,1454.5
